Duration,
2003.96,2003.946825
2003.92,
2003.89,
2003.97,
2003.92,
2004.21,
2003.87,
2003.91,
2004.09,
2003.77,
2003.91,
2003.99,
2004.11,
2003.69,
2003.83,
2003.63,
2003.75,
2004.26,
2003.84,
2004.06,
2019.18,
2003.86,
2003.93,
2004.29,
2004.2,
2003.96,
2003.81,
2004.1,
2003.79,
2003.84,
2003.72,
2004.06,
2004.2,
2003.71,
2003.82,
2004.25,
2003.84,
2004.14,
2003.71,
2003.7,
2004.03,
2003.96,
2006.41,
2003.83,
2003.92,
2003.71,
2003.77,
2004.11,
2003.98,
2003.89,
2004.09,
2003.74,
2003.8,
2003.76,
2003.77,
2003.78,
2003.93,
2003.78,
2003.75,
2003.83,
2003.77,
2003.95,
2003.68,
2003.96,
2003.72,
2012.15,
2003.93,
2003.76,
2003.82,
2003.82,
2004.2,
2003.86,
2003.77,
2003.84,
2003.87,
2003.7,
2003.89,
2003.9,
2003.96,
2003.83,
2003.4,
2004.03,
2003.95,
2003.78,
2003.99,
2003.82,
2003.83,
2003.99,
2003.8,
2003.73,
2004,
2003.7,
2003.71,
2004.38,
2003.82,
2003.88,
2004.02,
2003.82,
2003.75,
2004.02,
2003.94,
2003.69,
2003.9,
2003.71,
2003.9,
2003.79,
2003.89,
2004.09,
2003.79,
2003.75,
2004.16,
2003.77,
2004.08,
2003.83,
2003.78,
2003.9,
2004.05,
2003.89,
2004.03,
2003.89,
2003.79,
2003.82,
2004.61,
2003.92,
2003.83,
2004.14,
2002.52,
2003.95,
2003.92,
2003.81,
2003.94,
2004.01,
2004.03,
2003.82,
2003.98,
2004.05,
2003.93,
2003.96,
2003.96,
2003.73,
2003.86,
2003.84,
2004.18,
2003.94,
2003.91,
2003.74,
2004.03,
2003.99,
2003.93,
2003.79,
2004.03,
2003.88,
2003.78,
2003.94,
2004.66,
2004.23,
2004.55,
2004.06,
2003.98,
2003.73,
2003.71,
2003.73,
2004.1,
2003.84,
2003.71,
2003.93,
2003.92,
2003.72,
2004.09,
2003.77,
2003.8,
2003.74,
2003.74,
2004.03,
2003.96,
2003.81,
2003.68,
2003.84,
