Duration,
2040.2,2030.47912
2014.94,
2016.82,
2013.24,
2026.56,
2038.25,
2013.03,
2030.98,
2026.54,
2034.83,
2044.21,
2029.82,
2025.75,
2031.29,
2043.22,
2024.72,
2040.66,
2029.34,
2041.24,
2021,
2036.46,
2005.75,
2040.61,
2015.64,
2037.07,
2007.03,
2036.76,
2041.92,
2019.33,
2013.83,
2035.29,
2028.07,
2020.24,
2026.96,
2043.43,
2034.84,
2034.15,
2032.43,
2041.64,
2026.13,
2041.95,
2033.44,
2049.94,
2033.77,
2041.93,
2027.29,
2038.9,
2031.44,
2044.19,
2015.6,
2025.19,
2028.44,
2014.72,
2041.86,
2024.36,
2044.31,
2026.06,
2025.26,
2013.8,
2027.35,
2012.84,
2029,
2011.55,
2034.14,
2034.54,
2031.31,
2011.43,
2008.88,
2026.17,
2015.56,
2011.5,
2027.64,
2043.1,
2011.82,
2042.56,
2024.59,
2007.41,
2029.47,
2011.54,
2044.69,
2012.61,
2036.16,
2025.55,
2030.95,
2008.15,
2034.1,
2033.18,
2024.99,
2015.95,
2042.99,
2033.98,
2030.51,
2052.92,
2030.47,
2036.05,
2015.05,
2048.32,
2043.38,
2029.03,
2025.95,
2027.62,
2011.17,
2042.72,
2029.42,
2040.7,
2011.06,
2028.17,
2028.16,
2012.67,
2024.53,
2036.8,
2039.42,
2019.13,
2036.92,
2038.45,
2063.19,
2025.78,
2039.98,
2046.8,
2037.5,
2042.93,
2037.93,
2026.83,
2037.76,
2042.97,
2027.41,
2025.05,
2034.09,
2040.99,
2037.15,
2040.03,
2037.94,
2040.57,
2020.17,
2030.25,
2035.45,
2025.71,
2025.85,
2013.38,
2012.97,
2040.12,
2015.49,
2018.87,
2028.78,
2039.11,
2022.39,
2029.86,
2018.98,
2029.15,
2030.59,
2031.88,
2035.81,
2011.62,
2035.69,
2040.36,
2054.91,
2019.96,
2028.45,
2037.86,
2037.1,
2011.28,
2028.7,
2036.25,
2028.79,
2029.8,
2040.46,
2043.61,
2025.9,
2041.48,
2012.46,
2024.02,
2026.51,
2027.45,
2034.42,
2036.14,
2020.55,
2038.19,
2038.01,
2031.22,
2031.68,
2038.47,
2030.1,
2024.19,
2012.59,
2032.13,
2007.13,
2013.14,
2044.2,
2025.57,
