InitDuration,
131.47,130.6162963
135.99,
126.29,
126.51,
129.65,
125.42,
134.6,
125.62,
131.79,
148.94,
125.76,
130.08,
130.36,
125.05,
129.78,
130.36,
128.94,
133.28,
132.51,
124.13,
124.58,
132.03,
134.07,
132.06,
133.01,
131.7,
126.73,
128.74,
131.52,
124.17,
132.21,
127.84,
133.33,
129.99,
138.96,
133.4,
128.81,
133.02,
133.05,
129.3,
131.54,
127.71,
130.27,
127.34,
134.36,
125.59,
133.86,
129.76,
126.49,
135.3,
131.36,
134.53,
136.1,
124.02,
