Duration,
1022.1,1030.418485
1023.66,
1044.19,
1039.99,
1038.62,
1028.13,
1022.75,
1027.93,
1016.83,
1018.21,
1039.63,
1035.07,
1010.71,
1045.53,
1037.08,
1016.21,
1007.5,
1039.42,
1043.95,
1034.43,
1013.75,
1048.92,
1025.06,
1027.82,
1008.97,
1025.58,
1038.23,
1015.17,
1023.22,
1054.9,
1042.07,
1013.14,
1035.05,
1050.68,
1045.62,
1029.14,
1019.87,
1034.38,
1016.03,
1030.71,
1044.94,
1014.26,
1037.48,
1009.22,
1016.87,
1006.99,
1037.63,
1031.85,
1031.41,
1036.4,
1024.81,
1038.79,
1018.42,
1022.03,
1035.25,
1014.4,
1029.66,
1016.93,
1034.82,
1018.57,
1042.83,
1015.04,
1029.67,
1012.31,
1041,
1025.7,
1026.36,
1009.36,
1039.48,
1031.09,
1030.75,
1026.63,
1022.99,
1025.16,
1037.01,
1028.46,
1018.64,
1043.36,
1024.83,
1041.63,
1022.95,
1040.4,
1022.18,
1023.56,
1016.88,
1039.34,
1057.36,
1043.58,
1032.45,
1037.83,
1027.29,
1045.97,
1029.05,
1053.35,
1022.04,
1047.88,
1034,
1033.68,
1012.72,
1034.17,
1015.47,
1029.53,
1041.57,
1026.91,
1019.98,
1026.1,
1016.09,
1043.33,
1052.01,
1022.69,
1043.54,
1030.54,
1045.27,
1028.88,
1027.24,
1070.47,
1036.87,
1022.24,
1012.22,
1022.35,
1039.73,
1037.04,
1017.55,
1036.48,
1012.32,
1023.92,
1027.68,
1015.76,
1023.27,
1029.39,
1036.28,
1042.3,
1036.79,
1039.4,
1030.93,
1036.41,
1022.22,
1030.27,
1020.4,
1037.93,
1042.55,
1013.06,
1022.91,
1033.94,
1025.38,
1020.51,
1026.47,
1028.02,
1036.05,
1030.54,
1013.55,
1045.49,
1011.32,
1043.55,
1045.73,
1029.51,
1043.2,
1032.5,
1020.77,
1041.78,
1028.91,
1026.6,
1027.35,
1018.41,
1054.72,
1020.35,
1037.2,
1017.25,
1023.9,
1031.26,
1022.46,
1025.22,
1017,
1018.54,
1023.81,
1033.29,
1043.08,
1036.52,
1020.56,
1031.78,
1012.88,
1035.16,
1014.97,
1029.17,
1037.86,
1040.03,
1022.08,
1022.55,
1049.46,
1028.59,
1029.06,
1046.26,
1020.16,
1009.14,
1047.96,
1047.88,
1030.38,
1035.18,
1026.4,
1022.49,
1041.15,
1030.55,
1027.68,
1022.86,
1027.2,
1053.4,
1046.22,
1035.99,
1027.87,
1017.57,
1020.37,
1024.26,
1015.86,
1046.09,
1026.54,
1033.39,
1023.98,
1039.41,
1031.63,
1039.37,
1016.94,
1014.95,
1018.96,
1024.07,
1021.72,
1042.97,
1035.82,
1011.32,
1026.58,
1033.96,
1027.18,
1013.51,
1016.53,
1046.98,
1024.37,
1030.69,
1010.97,
1039.13,
1037.12,
1038.77,
1040.41,
1014.73,
1058.29,
1029.93,
1060.07,
1043.96,
1019.46,
1025.01,
1027.9,
1022.34,
1024.3,
1027.88,
1025.99,
1039.32,
1020.72,
1035.12,
1028.59,
1009.99,
1029.93,
1026.78,
1024.43,
1025.02,
1040.6,
1022.33,
1034.66,
1041.93,
1017.75,
1041.59,
1007.2,
1021.84,
1053.69,
1035.97,
1026.95,
1027.03,
1030.62,
1037.08,
1043.82,
1043,
1029.23,
1055.25,
1020.91,
1035.01,
1031.23,
1030.44,
1053.36,
1012.72,
1036.32,
1040.97,
1024.64,
1016,
1013.12,
1028.31,
1037.9,
1026.15,
1029.7,
1034.04,
1042.84,
1061.96,
1019.97,
1035.23,
1031.14,
1040.32,
1042.53,
1025.27,
1035.38,
1027.61,
1009.4,
1039.3,
1016.48,
1050.71,
1037.46,
1037.17,
1038.05,
1041.95,
1023.99,
1045.07,
1034.48,
1042.1,
1041.75,
1020.38,
1040.37,
1032.19,
1034.21,
1057.22,
1010.12,
1045.19,
1014.78,
1035.18,
1021.36,
1039.27,
1040.49,
1033.01,
1039.56,
1013.73,
1028.21,
1059.12,
1025.49,
1034.35,
1041.55,
1030.5,
1024.43,
1013.12,
1038.84,
1007.12,
1023.37,
1017.13,
1056.78,
1025.4,
1026.24,
1037.76,
1031.77,
1009.29,
1021.63,
1032.83,
1042.62,
1033.14,
1027.66,
1034.05,
1023.14,
1055.09,
1017.24,
1036.78,
1011.85,
1045.21,
1037.94,
1018.33,
1025.38,
1035.17,
1026.71,
1025.38,
1011.03,
1058.34,
1027.76,
1028.75,
1041.3,
1042.18,
1038.23,
1036.85,
1032.03,
1023.82,
1019.21,
1035.17,
1027.56,
1033.58,
1035.88,
1012.67,
1021.75,
1032.51,
1030.23,
1021.99,
1026.58,
1030.39,
1044.09,
1039.48,
1027.05,
1027.53,
1037.87,
1031.34,
1030.94,
1032.29,
1029.53,
1038.26,
1006.91,
1037.8,
1031.21,
1009.84,
1043.06,
1012.4,
1045.14,
1034.41,
1024.55,
1023.55,
1024.85,
1019.11,
1016.1,
1026.55,
1018.92,
1028.32,
1038.06,
1029.69,
1010.29,
1029.49,
1022.15,
1032.24,
1042.04,
1007.09,
1040.02,
1051.03,
1028.91,
1024.34,
1013.9,
1026,
1022.26,
1047.81,
1023.36,
1014.15,
1033.96,
1040.57,
1042.08,
1022,
1015,
1014.51,
1034.9,
1040.15,
1044.97,
1024.8,
1022.6,
1012.03,
1031.06,
1039.21,
1031.66,
1033.07,
1042.2,
1035.37,
1038.08,
1028.05,
1017.56,
1037.37,
1023.58,
1014,
1010.71,
1047.39,
1029.38,
1026.2,
1046.3,
1027.85,
1057.9,
1030.5,
1033.28,
1028.17,
1037.19,
1044.17,
1038.04,
1026.02,
1023.44,
1031.74,
1040.09,
1018.46,
1020.04,
1041.07,
1025.86,
1036,
1012.94,
1029.37,
1025.42,
1031.04,
1019.99,
1032.33,
1028.14,
1045.35,
1022.12,
1038.28,
1038.25,
1015.74,
1055.11,
1013.47,
1039.49,
1026.12,
1039.13,
1043.79,
1036.7,
1043.82,
1044.1,
1031.27,
1031.91,
1037.43,
1035.62,
1034.94,
1038.94,
1042.53,
1041.03,
1029.8,
1014.63,
1017.73,
1020.71,
1021.87,
1035.69,
1041.58,
1022.51,
1041.83,
1024.95,
1017.32,
1027.45,
1042.66,
1031.19,
1029.43,
1043.19,
1015.77,
1043.11,
1010.22,
1027.5,
1026.43,
1022.73,
1034.81,
1043.03,
1029.83,
1031.75,
1029.03,
1024.47,
1037.37,
1011.46,
1039.87,
1045.03,
1036,
1017.37,
1045,
1031.56,
1021.33,
1044.29,
1032.65,
1035.59,
1010.16,
1024.88,
1030.87,
1030.71,
1010.51,
1049.78,
1020.89,
1026.19,
1039.45,
1040.55,
1017.12,
1021.61,
1045.85,
1025.19,
1043.32,
1022.53,
1029.49,
1041.17,
1023.11,
1043.2,
1032.87,
1025.09,
1018.59,
1032.92,
1033.42,
1024.36,
1045.26,
1035.14,
1057.82,
1061.73,
1024.73,
1024.86,
1039.5,
1043.48,
1042.75,
1018.26,
1045.02,
1070.2,
1034.8,
1023.42,
1024.17,
1029.66,
1025.46,
1021.68,
1039.09,
1034.55,
1023.39,
1023.03,
1023,
1043.08,
1017.65,
1030.71,
1038.65,
1043.75,
1044.71,
1011.63,
1024.52,
1046.2,
1027.15,
1030.21,
1021.39,
1025.45,
1042.08,
1027.78,
1028.05,
1040.32,
1037.12,
1036.12,
1010.48,
1032.26,
1016.05,
1015.94,
1023.96,
1011.61,
1035.98,
1027.65,
1012.96,
1041.47,
1018.28,
1032.03,
1051.57,
1021.45,
1037.26,
1025.61,
1023.77,
1030.58,
1039,
1025.3,
1028.32,
1011.71,
1016.45,
1039.76,
1043.32,
1027.55,
1042.58,
1009.87,
1039.02,
1013.95,
1032.85,
1043.51,
1050.91,
1009.75,
1037.4,
1042.82,
1027.97,
1035.45,
1044.87,
1043.68,
1041.69,
1045.12,
1011.12,
1041.34,
1021.69,
1039.22,
1033.5,
1027.99,
1035.36,
1042.62,
1039.34,
1009.17,
1037.58,
1022.03,
1045.24,
1023.49,
1038.73,
1042.86,
1054.46,
1042.9,
1032.46,
1032.67,
1017.68,
1023.17,
1029.6,
1007.71,
1031.1,
1039.46,
1011.72,
1038.57,
1040.17,
1040.66,
1016.06,
1042.29,
1029.23,
1012.98,
1012.19,
1019.81,
1019.51,
1031.36,
1032.79,
1035,
1019.05,
1034.54,
1048,
1032.03,
1034.94,
1040.49,
1025.42,
1045.09,
1034.72,
1023.98,
1022.06,
1047.38,
1041.02,
1013.48,
1030.1,
1008.58,
1021.27,
1022.41,
1018.83,
1044.98,
1017.09,
1025.17,
1009.75,
1028.49,
1031.36,
1016.57,
1040.25,
1043.21,
1034.42,
1033,
1034.12,
1028.65,
1042.99,
1030.02,
1053.26,
1036.06,
1033.93,
1028.58,
1024.75,
1033.08,
1013.38,
1027.12,
1064.87,
1027.19,
1021.52,
1032.66,
1052.18,
1016.66,
1014.18,
1029.94,
1010.49,
1035.32,
1024.19,
1036.15,
1027.07,
1022.87,
1015.27,
1045,
1022.91,
1022.36,
1041.61,
1031.04,
1050.57,
1025.15,
1027.1,
1039.3,
1025.53,
1026.75,
1039.9,
1017.1,
1025.79,
1040.13,
1038.88,
1036.21,
1026.41,
1021.46,
1033.3,
1007.38,
1034.36,
1010.48,
1022.69,
1025.5,
1014.6,
1044.55,
1052.26,
1024.19,
1041.3,
1025.45,
1038.93,
1010.32,
1041.16,
1016.15,
1034.01,
1016.78,
1034.59,
1021.73,
1035.91,
1038.61,
1042.25,
1039.48,
1016.38,
1042.14,
1041.03,
1045.04,
1014.58,
1068.36,
1025.32,
1023.24,
1013.69,
1046.69,
1037.28,
1012.2,
1018.57,
1026.28,
1010.72,
1031.55,
1041.16,
1053.98,
1024.14,
1025.65,
1025.98,
1040.26,
1038.52,
1037.12,
1031.63,
1037.12,
1045.34,
1009.57,
1050.69,
1038.81,
1026.22,
1010.5,
1027.34,
1027.29,
1036.71,
1037.69,
1035.41,
1032.82,
1020.37,
1017.17,
1028.34,
1038.93,
1026.89,
1036.67,
1015.25,
1025.67,
1040.9,
1022.14,
1017.62,
1016.36,
1022.65,
1013.49,
1010.21,
1022.71,
1028.22,
1025.7,
1038.97,
1032.94,
1025.66,
1020.26,
1027.01,
1034.9,
1024.89,
1039.4,
1039.84,
1035.4,
1035.55,
1034.25,
1042.09,
1039.37,
1028.91,
1034.85,
1027.38,
1030.33,
1033.54,
1036.81,
1033.63,
1040.25,
1056.77,
1023.38,
1018.21,
1038.07,
1030.62,
1044.94,
1020.73,
1045.07,
1027.14,
1017.92,
1053,
1015.07,
1026.81,
1026.22,
1040.68,
1023.7,
1023.14,
1038.3,
1025.29,
1046.94,
1034.84,
1037.46,
1038.98,
1037.81,
1021.55,
1057.94,
1059.82,
1022.08,
1031.52,
1021.32,
1042.29,
1039.12,
1039.65,
1006.62,
1051.43,
1055.34,
1022.69,
1027.14,
1055.16,
1040.63,
1025.5,
1030.71,
1024.05,
1025.51,
1032.92,
1017.16,
1022.97,
1010.78,
1043.87,
1028.7,
1045.25,
1035.29,
1026.52,
1030.36,
1025.06,
1034.61,
1027.5,
1021.2,
1027.58,
1025.23,
1031.54,
1025.13,
1016.51,
1045.41,
1023.43,
1030.99,
1023.24,
1027.37,
1038.27,
1032.87,
1032.46,
1043.41,
1047.33,
1030.61,
1039.62,
1015.07,
1014.16,
1022.91,
1031.54,
1025.15,
1039.28,
1041.9,
1025.2,
1020.33,
1030.4,
1041,
1024.93,
1027.07,
1025.23,
1031.55,
1031.71,
1041.26,
1021.98,
1032.64,
1032.79,
1021.55,
1041.68,
1021.08,
1012.79,
1022.93,
1010.17,
1029.09,
1033.65,
1053.53,
1013.76,
1043.7,
1024.83,
1040.6,
1023.81,
1038.89,
1019.66,
1012.13,
1035.63,
1043.96,
1042.41,
1016.98,
1038.05,
1021.97,
1015.79,
1037.8,
1025.03,
1039.06,
1026.36,
1041.1,
1044.11,
1014.02,
1025.29,
1024.8,
1022.15,
1039.24,
1040.72,
1028.73,
1035.71,
1031.47,
1021.65,
1034.42,
1024.88,
1032.06,
1031.89,
1045.71,
1027.22,
1042.32,
1008.36,
1030.86,
1041.19,
1010.96,
1033.42,
1013.48,
1022.49,
1036.59,
1010.27,
1032.1,
1040.58,
1017.76,
1030.93,
1026.57,
1022.72,
1011.99,
1034.79,
1021.92,
1026.5,
1049.46,
1022.57,
1013.83,
1039.59,
1026,
1028.62,
1042.21,
1038.88,
1022.31,
1026.95,
1029.9,
1025.07,
1043.05,
1041.41,
1028.37,
1016.54,
1012.51,
1040.13,
1007.3,
1025.37,
1017.97,
1035.13,
1025.07,
1015.02,
1039.4,
1060.88,
1047.68,
1041.34,
1030.86,
1035.83,
1036.38,
1036.07,
1031.8,
1046.78,
1035.12,
1034.89,
1042.79,
1031.07,
1035.03,
1029.78,
1042.54,
1046.53,
1021.93,
1021.58,
1036.75,
1024.65,
1042.93,
1018.3,
1021.66,
1042.05,
1037.02,
1032.08,
1055.19,
1041.43,
1036.07,
1025.14,
1007.26,
1034.02,
1031.2,
1034.28,
1018.92,
1018.71,
1026.14,
1028.7,
1022.82,
1010.26,
1045.22,
1024.27,
1016.12,
1038.76,
1039.94,
1038.13,
1035.04,
1043.47,
1042.14,
1026.3,
1045.6,
1016.33,
1030.31,
1025.03,
1024.71,
1024.64,
1030.43,
1033.47,
1020.33,
1027.08,
1026.9,
1019.85,
1029.88,
1022.46,
1036.89,
1016.26,
1026.91,
1030.02,
1040.76,
1034.22,
1024.76,
1033.62,
1035.52,
1028.5,
1039.5,
1043.69,
1025.82,
1046.87,
1021.58,
1022.45,
1024.5,
1023.23,
1009.77,
1023.91,
1029.05,
1044.88,
1010.02,
1038.63,
1023.11,
1037.3,
1041.86,
1038.34,
1007.48,
1023.11,
1024.4,
1019.87,
1007.39,
1031.35,
1031.76,
1037.88,
1036.4,
1027.06,
1021.61,
1042.17,
1039.79,
1045.17,
1013.54,
1029.96,
1022.74,
1058.14,
1034.08,
1029.41,
1028.16,
1026.15,
1013.11,
1032.06,
1059.84,
1046.14,
1046.85,
1022.42,
1033.31,
1022.58,
1010.29,
1048.22,
1027.2,
1025.01,
